sp_ObtenerListaOrdenesTrabajo|Ulen=844|Slen=866
sp_ObtenerListaOrdenesTrabajoRFechas|Ulen=950|Slen=976
spr_TraerVendedores_x_FormTecnico|Ulen=306|Slen=306
spx_ActualizarConformacionCuadrillaWeb|Ulen=1647|Slen=1651
spx_EliminarConformacionCuadrillaWeb|Ulen=202|Slen=207
spx_ExisteRegistroConformacionCuadrillaDiario|Ulen=231|Slen=236
spx_ObtenerActividadesConformacionCuadrillaWeb|Ulen=180|Slen=185
spx_ObtenerAuxiliaresConformacionCuadrillaWeb|Ulen=573|Slen=572
spx_ObtenerCaberaVentaParaRegistroOTwb|Ulen=567|Slen=579
spx_ObtenerConformacionCuadrillaBackOffice|Ulen=585|Slen=619
spx_ObtenerConformacionCuadrillaWeb|Ulen=6008|Slen=6012
spx_ObtenerConformacionCuadrillaWebPorId|Ulen=4853|Slen=4856
spx_ObtenerDatosTecnicoConformacionCuadrillaWeb|Ulen=2222|Slen=2168
spx_ObtenerDatosTecnicoCuadrilla|Ulen=414|Slen=419
spx_ObtenerDigitadoresConformacionCuadrillaWeb|Ulen=381|Slen=385
spx_ObtenerListaDigitadores|Ulen=278|Slen=287
spx_ObtenerListadoConformacionCuadrillaBackOffice|Ulen=162|Slen=168
spx_ObtenerListaUsuario|Ulen=255|Slen=257
spx_ObtenerPlacavehiculos_Tecnico|Ulen=269|Slen=273
spx_ObtenerRamal|Ulen=77|Slen=83
spx_ObtenerRutaXIdTecnico|Ulen=1747|Slen=132
spx_ObtenerSucursalesConformacionCuadrillaWeb|Ulen=286|Slen=291
spx_ObtenerSupervisoresConformacionCuadrillaWeb|Ulen=436|Slen=442
spx_ObtenerTecnicosEnRuta|Ulen=211|Slen=205
spx_ObtenerTipoTecnologia|Ulen=187|Slen=187
spx_ObtenerVehiculosConformacionCuadrillaWeb|Ulen=225|Slen=225
spx_RegistrarConformacionCuadrillaWeb|Ulen=1928|Slen=1932
spx_RegistrarVentaParaRegistroOTwb|Ulen=2797|Slen=2774
spx_ValidarUsuario|Ulen=605|Slen=584
spx_ValidarUsuarioSucursal|Ulen=718|Slen=724
spx_ValidarVentaYDetallewb|Ulen=3567|Slen=3565
TraerTodosLosProductos_SinFungibleWeb|Ulen=155|Slen=159
TraerTodosLosProductos_x_IdRutaWeb|Ulen=256|Slen=261
